alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
1.0,0.9500,1.0097019357e-01,5.0293103329e-02,2.2694762877e-02,4.5562799849e-02,2.14392e-02
1.0,0.9600,1.1250249876e-01,5.5381798958e-02,2.5519932960e-02,5.1841151428e-02,2.26506e-02
1.0,0.9700,1.2605757703e-01,6.1300183026e-02,2.8838671105e-02,5.9303787114e-02,2.37137e-02
1.0,0.9800,1.4194209859e-01,6.8149094213e-02,3.2725195041e-02,6.8160595745e-02,2.45341e-02
1.0,0.9900,1.6042871778e-01,7.6003825402e-02,3.7245674638e-02,7.8618093149e-02,2.50202e-02
1.0,1.0000,1.8171016464e-01,8.4895069057e-02,4.2447534529e-02,9.0855082321e-02,2.51052e-02
1.0,1.0100,2.0585935508e-01,9.4795107137e-02,4.8350244395e-02,1.0499856406e-01,2.47696e-02
1.0,1.0200,2.3281444244e-01,1.0561684872e-01,5.4941884705e-02,1.2111007296e-01,2.40485e-02
1.0,1.0300,2.6239765510e-01,1.1722768741e-01,6.2183426788e-02,1.3918883615e-01,2.30210e-02
1.0,1.0400,2.9435769023e-01,1.2947188245e-01,7.0018394029e-02,1.5918863888e-01,2.17865e-02
1.0,1.0500,3.2841516284e-01,1.4219192927e-01,7.8383301012e-02,1.8103885852e-01,2.04412e-02
1.0,1.0600,3.6429655450e-01,1.5524307897e-01,8.7215561763e-02,2.0466180432e-01,1.90640e-02
1.0,1.0700,4.0175340496e-01,1.6850040524e-01,9.6458056978e-02,2.2998373667e-01,1.77114e-02
1.0,1.0800,4.4056995514e-01,1.8186048016e-01,1.0606103203e-01,2.5694039784e-01,1.64195e-02
1.0,1.0900,4.8056377349e-01,1.9524002818e-01,1.1598233874e-01,2.8547890964e-01,1.52084e-02
1.0,1.1000,5.2158289897e-01,2.0857327913e-01,1.2618683388e-01,3.1555765388e-01,1.40870e-02
1.0,1.1100,5.6350169724e-01,2.2180902567e-01,1.3664545026e-01,3.4714522058e-01,1.30568e-02
1.0,1.1200,6.0621657528e-01,2.3490787131e-01,1.4733421689e-01,3.8021903602e-01,1.21149e-02
1.0,1.1300,6.4964208602e-01,2.4783985984e-01,1.5823335852e-01,4.1476398982e-01,1.12560e-02
1.0,1.1400,6.9370759073e-01,2.6058251780e-01,1.6932652007e-01,4.5077119245e-01,1.04737e-02
1.0,1.1500,7.3835450098e-01,2.7311927894e-01,1.8060012320e-01,4.8823691377e-01,9.76111e-03
1.0,1.1600,7.8353403317e-01,2.8543823129e-01,1.9204284201e-01,5.2716169751e-01,9.11155e-03
1.0,1.1700,8.2920540371e-01,2.9753112908e-01,2.0364518130e-01,5.6754963857e-01,8.51867e-03
1.0,1.1800,8.7533437809e-01,3.0939261434e-01,2.1539913811e-01,6.0940779403e-01,7.97658e-03
1.0,1.1900,9.2189211053e-01,3.2101960502e-01,2.2729793133e-01,6.5274570886e-01,7.47992e-03
2.0,0.0000,1.0000000000e-02,9.9337091526e-03,6.6224727684e-35,3.3333333333e-35,4.38569e-35
